"index","importance","stddev","p_value","n","p99_high","p99_low"
"average_headwind","5.451040663757794","0","0","1","0","0"
"country_code_ades","5.438495641566988","0","0","1","0","0"
"openap_fuel.fuel_coef","5.043587972774731","0","0","1","0","0"
"openap_drag.gears","4.91931175765103","0","0","1","0","0"
"is_heavy","4.552972184647842","0","0","1","0","0"
"openap_flaps.type","4.495939711128813","0","0","1","0","0"
"estimated_pax_weight","4.465919936261798","0","0","1","0","0"
"runway_ades_le_displaced_threshold_ft","4.114410401800342","0","0","1","0","0"
"openap_fuel.engine","3.7303583918487675","0","0","1","0","0"
"stats_MOVE_CACM_TOTAL_x","3.6337416730871155","0","0","1","0","0"
"stats_MOVE_ACM_TOTAL_x","3.4373256420904","0","0","1","0","0"
"premium_seat_ratio","3.4014274080368523","0","0","1","0","0"
"openap_flaps.Sf/S","3.1600518091663616","0","0","1","0","0"
"stats_PAS_PAS_CRD_TOTAL_x","3.1014064989535655","0","0","1","0","0"
"openap_flaps.bf/b","3.0947961491960996","0","0","1","0","0"
"headwind_factor","2.869826846484102","0","0","1","0","0"
"day_of_week","2.8528634999279348","0","0","1","0","0"
"openap_ei_hc_app","2.8398561610761135","0","0","1","0","0"
"Cargo Capacity","2.7435592738993364","0","0","1","0","0"
"avg_speed","2.683332315348707","0","0","1","0","0"
"openap_fuel_c2","2.566151162611277","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Stock changes_x","2.4684937687147794","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Production_y","2.3909247196911565","0","0","1","0","0"
"openap_ei_co_co","2.3382630199935193","0","0","1","0","0"
"runway_ades_he_displaced_threshold_ft","2.3031942230732056","0","0","1","0","0"
"kinetic_energy_factor","2.2691956627218133","0","0","1","0","0"
"stats_T_FRM_LD_NLD_TOTAL_x","2.0423412100153655","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Consumption by domestic aviation_x","1.9690639517748423","0","0","1","0","0"
"is_premium_hour","1.8826852156553286","0","0","1","0","0"
"ades_tmpf","1.8130925777163611","0","0","1","0","0"
"min_headwind","1.6856218591569814","0","0","1","0","0"
"stats_PAS_PAS_TRS_TOTAL_x","1.6363267423321304","0","0","1","0","0"
"openap_manufacturer","1.619463122455727","0","0","1","0","0"
"departure_hour","1.5962175626059434","0","0","1","0","0"
"bernoulli_coefficient","1.5202523853204184","0","0","1","0","0"
"openap_ei_co_app","1.5027777836421592","0","0","1","0","0"
"flight_time_vs_optimal","1.4904566424902441","0","0","1","0","0"
"openap_ei_nox_to","1.4757112114689335","0","0","1","0","0"
"ades_lat_x","1.463703426072243","0","0","1","0","0"
"ades_lat_y","1.34225874304002","0","0","1","0","0"
"stats_PAS_PAS_TRS_TOTAL_y","1.320170957337723","0","0","1","0","0"
"openap_flaps.cf/c","1.296226514141381","0","0","1","0","0"
"adep_lat","1.1075626493170603","0","0","1","0","0"
"estimated_load_factor","1.092670443467341","0","0","1","0","0"
"is_holiday_month","1.0839872603487493","0","0","1","0","0"
"month","1.0639896918746672","0","0","1","0","0"
"openap_fuel_b","1.0353267398918433","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Consumption by transport_y","0.9111852039368387","0","0","1","0","0"
"ades_feel","0.8936123979392505","0","0","1","0","0"
"openap_ei_nox_idl","0.8822953657254402","0","0","1","0","0"
"adep_lon","0.843684187060262","0","0","1","0","0"
"is_flight_to_US","0.8321278565363173","0","0","1","0","0"
"high_baggage_likelihood","0.8047062560931408","0","0","1","0","0"
"initclimb_median_alt","0.7879775855408298","0","0","1","0","0"
"fuel_capacity_ratio","0.7790402916944004","0","0","1","0","0"
"route_popularity","0.7733540560325309","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - International aviation bunkers_x","0.7705168435713858","0","0","1","0","0"
"initclimb_mean_alt","0.7591611180478139","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Total energy supply_x","0.7498888552877361","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Final consumption_x","0.7345517246862983","0","0","1","0","0"
"cargo_capacity_ratio","0.7227592450253724","0","0","1","0","0"
"mean_cruise_speed","0.7187142192274223","0","0","1","0","0"
"fuel_per_seat_km","0.7040319777447621","0","0","1","0","0"
"Cruising Speed(mach)","0.6973424296938902","0","0","1","0","0"
"route_efficiency","0.6894292413867333","0","0","1","0","0"
"ades_sknt","0.6520535972499601","0","0","1","0","0"
"is_business_route","0.6245251269510845","0","0","1","0","0"
"stats_PAS_PAS_TRF_TOTAL_y","0.5916190935877239","0","0","1","0","0"
"ades_skyc2","0.5401813826051693","0","0","1","0","0"
"openap_cruise_mach","0.5265100152132618","0","0","1","0","0"
"openap_ei_nox_app","0.477881590249126","0","0","1","0","0"
"stats_PAS_PAS_CRD_TOTAL_y","0.4117129598766951","0","0","1","0","0"
"initclimb_max_gs","0.39108405756132925","0","0","1","0","0"
"initclimb_mean_gs","0.3876902177607917","0","0","1","0","0"
"ades_skyc1","0.3753488326774459","0","0","1","0","0"
"initclimb_min_gs","0.3510918613310423","0","0","1","0","0"
"speed_efficiency","0.34352361050969193","0","0","1","0","0"
"has_takeoff_trajectory","0.28613150946694077","0","0","1","0","0"
"ades_drct","0.2768110314477781","0","0","1","0","0"
"stats_T_FRM_LD_NLD_TOTAL_y","0.2691605817872187","0","0","1","0","0"
"ades_alti","0.2689163230597842","0","0","1","0","0"
"runway_ades_length_ft","0.2661009974899571","0","0","1","0","0"
"median_cruise_speed","0.26227921530153253","0","0","1","0","0"
